# Plate File Name: Power Up SYBR_02.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 01:18:54 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 01:19:00 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 02:34:29 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 29 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
70,F10,C-L-21,Target 1,UNKNOWN,SYBR,None,Amp,28.16807957,26.69090553,0.96318557,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
71,F11,C-L-21,Target 1,UNKNOWN,SYBR,None,Amp,28.41431302,26.69090553,0.950411012,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
72,F12,C-L-21,Target 1,UNKNOWN,SYBR,None,Amp,28.32372184,26.69090553,0.955442594,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
73,G1,Standard_7,Target 1,UNKNOWN,SYBR,None,Amp,27.63648039,26.69090553,0.966140522,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
74,G2,Standard_7,Target 1,UNKNOWN,SYBR,None,Amp,27.57269807,26.69090553,0.972334493,6.019300523,TRUE,0.21850056,TRUE,3,22,,,,,FALSE
75,G3,Standard_7,Target 1,UNKNOWN,SYBR,None,Amp,27.73334451,26.69090553,0.972517684,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
76,G4,V-N-19,Target 1,UNKNOWN,SYBR,None,Amp,30.12043462,26.69090553,0.964753775,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
77,G5,V-N-19,Target 1,UNKNOWN,SYBR,None,Amp,30.16415926,26.69090553,0.965702657,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
78,G6,V-N-19,Target 1,UNKNOWN,SYBR,None,Amp,30.15112765,26.69090553,0.968023958,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
79,G7,EC-6,Target 1,UNKNOWN,SYBR,None,Amp,33.59800849,26.69090553,0.96145688,6.019300523,TRUE,0.21850056,TRUE,3,28,,,,,FALSE
80,G8,EC-6,Target 1,UNKNOWN,SYBR,None,Amp,31.89300683,26.69090553,0.96495885,6.019300523,TRUE,0.21850056,TRUE,3,27,,,,,FALSE
81,G9,EC-6,Target 1,UNKNOWN,SYBR,None,Amp,32.37501045,26.69090553,0.969954826,6.019300523,TRUE,0.21850056,TRUE,3,27,,,,,FALSE
82,G10,V-N-14,Target 1,UNKNOWN,SYBR,None,Amp,27.95613895,26.69090553,0.969576296,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
83,G11,V-N-14,Target 1,UNKNOWN,SYBR,None,Amp,27.94314288,26.69090553,0.966128198,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
84,G12,V-N-14,Target 1,UNKNOWN,SYBR,None,Amp,27.98335233,26.69090553,0.967360941,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
85,H1,NTC,Target 1,UNKNOWN,SYBR,None,Amp,32.97690208,26.69090553,0.94504563,6.019300523,TRUE,0.21850056,TRUE,3,28,,,,,FALSE
86,H2,NTC,Target 1,UNKNOWN,SYBR,None,Amp,33.59450665,26.69090553,0.96800785,6.019300523,TRUE,0.21850056,TRUE,3,28,,,,,FALSE
87,H3,NTC,Target 1,UNKNOWN,SYBR,None,Amp,33.17543387,26.69090553,0.975040379,6.019300523,TRUE,0.21850056,TRUE,3,27,,,,,FALSE
88,H4,C-L-7,Target 1,UNKNOWN,SYBR,None,Amp,29.36949906,26.69090553,0.971092506,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
89,H5,C-L-7,Target 1,UNKNOWN,SYBR,None,Amp,29.48663187,26.69090553,0.962122945,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
90,H6,C-L-7,Target 1,UNKNOWN,SYBR,None,Amp,29.66785738,26.69090553,0.962047563,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
91,H7,C-L-6,Target 1,UNKNOWN,SYBR,None,Amp,30.49309078,26.69090553,0.966706118,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
92,H8,C-L-6,Target 1,UNKNOWN,SYBR,None,Amp,30.98175884,26.69090553,0.957094531,6.019300523,TRUE,0.21850056,TRUE,3,26,,,,,FALSE
93,H9,C-L-6,Target 1,UNKNOWN,SYBR,None,Amp,30.69324577,26.69090553,0.938265171,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
94,H10,C-D-24,Target 1,UNKNOWN,SYBR,None,Amp,30.11245494,26.69090553,0.964490733,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
95,H11,C-D-24,Target 1,UNKNOWN,SYBR,None,Amp,30.04895033,26.69090553,0.956465221,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
96,H12,C-D-24,Target 1,UNKNOWN,SYBR,None,Amp,30.31602315,26.69090553,0.951019692,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
